lens_id,doc_key,residence,extracted_name,extracted_address,nimi,id
000-185-902-065-465,CN_218289675_U_20230113,,SHAANXI CONSTRUCTION ENGINEERING YANAN NEW BUILDING MAT CO LTD,,SHAANXI CONSTRUCTION ENGINEERING YANAN NEW BUILDING MAT CO LTD,
000-492-145-626-72X,CN_115626784_A_20230120,,GANSU HIGHWAY & BRIDGE CONSTR GROUP CO LTD,,GANSU HIGHWAY & BRIDGE CONSTR GROUP CO LTD,
000-817-723-128-822,CN_112321258_A_20210205,,UNIV SHAOXING,,UNIV SHAOXING,
001-445-782-760-977,CN_208668403_U_20190329,,TANGSHI JIANHUA CONSTRUCTION MAT SHANGHAI CO LTD,,TANGSHI JIANHUA CONSTRUCTION MAT SHANGHAI CO LTD,
001-957-108-415-847,CN_209277095_U_20190820,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,,SHANGHAI JIUDING GREENING CONCRETE CO LTD,
003-203-395-622-997,US_20210115630_A1_20210422,US,MARTINEZ ARIEL GERARDO,,MARTINEZ ARIEL GERARDO,
003-713-797-274-542,AU_2021106265_A4_20211216,,ROORKEE COLLEGE OF ENG,,ROORKEE COLLEGE OF ENG,
003-921-547-597-177,US_20200339477_A1_20201029,SA,UNIV KING FAHD PET & MINERALS,,UNIV KING FAHD PET & MINERALS,
004-148-058-392-171,US_20200141132_A1_20200507,US,VICONIC SPORTING LLC,,VICONIC SPORTING LLC,
004-231-889-717-130,CN_216795887_U_20220624,,SHANGHAI JIUDING GREEN CONCRETE CO LTD,,SHANGHAI JIUDING GREEN CONCRETE CO LTD,
004-575-306-270-621,CN_208179937_U_20181204,,YICHANG TAIHE CONSTRUCTION ENG CO LTD,,YICHANG TAIHE CONSTRUCTION ENG CO LTD,
004-842-485-838-270,CN_218286153_U_20230113,,SHAANXI CONSTRUCTION ENGINEERING YANAN NEW BUILDING MAT CO LTD,,SHAANXI CONSTRUCTION ENGINEERING YANAN NEW BUILDING MAT CO LTD,
006-259-495-172-673,WO_2022266089_A1_20221222,US,CHAUDHARI ASHOK,,CHAUDHARI ASHOK,
006-259-495-172-673,WO_2022266089_A1_20221222,US,MOLINELLI MICHAEL,,MOLINELLI MICHAEL,
006-444-588-240-879,US_10870982_B2_20201222,US,RUDYAN AMIR SHY,,RUDYAN AMIR SHY,
006-453-250-983-725,CN_106673477_A_20170517,,TRUSYN CHEM-TECH CO LTD,,TRUSYN CHEM-TECH CO LTD,
007-254-219-065-138,CN_213952486_U_20210813,,SHENZHEN INST INFORMATION TECH,,SHENZHEN INST INFORMATION TECH,
007-992-606-956-701,US_20210395155_A1_20211223,CH,SIKA TECH AG,,SIKA TECH AG,
008-479-072-211-797,CN_215694759_U_20220201,,HUBEI CHENGTAO BUILDING MAT CO LTD,,HUBEI CHENGTAO BUILDING MAT CO LTD,
008-880-657-317-66X,AU_2019382199_A1_20210325,CH,SIKA TECH AG,,SIKA TECH AG,
008-892-655-738-418,CN_205934902_U_20170208,,JIANGSU JINYUAN PIPE IND CO LTD,,JIANGSU JINYUAN PIPE IND CO LTD,
009-202-967-478-067,US_20160089812_A1_20160331,SE,HUSQVARNA AB,,HUSQVARNA AB,
010-016-588-997-63X,CN_212104132_U_20201208,,CHONGQING HONGYANG BUILDING MAT GROUP HONGFENG CONCRETE CO LTD,,CHONGQING HONGYANG BUILDING MAT GROUP HONGFENG CONCRETE CO LTD,
010-685-796-706-17X,EP_2865822_A1_20150429,US,GRACE W R & CO,,GRACE W R & CO,
011-034-753-576-931,US_20210199181_A1_20210701,US,ISKCO LTD,,ISKCO LTD,
