lens_id,jurisdiction,date_published,doc_key,publication_type,publication_reference_jurisdiction,publication_reference_kind,publication_reference_date,application_reference_jurisdiction,application_reference_kind,application_reference_date,priority_claims_earliest_claim_date,invention_title,numApplicants,numInventors,references_cited_patent_count,references_cited_npl_count,priority_claim_jurisdiction,abstract,abstract_lang,owner,title_lang
000-185-902-065-465,CN,2023-01-13,CN_218289675_U_20230113,LIMITED_PATENT,CN,U,2023-01-13,CN,U,2022-09-15,2022-09-15,Green concrete discharging device,1,5,,,CN,"The utility model discloses a green concrete unloading device, which belongs to the technical field of concrete unloading, and comprises an unloading cylinder, a rotating ring, a plurality of cleaning strips and a driving component, the cleaning strips are uniformly arranged on the rotating ring, the rotating ring is provided with a limiting ring groove, the limiting ring groove is provided with a limiting ring plate, and the driving component is arranged on the limiting ring plate. A limiting wheel groove is formed in the limiting ring plate, the driving assembly is arranged on the discharging barrel and is in driving connection with the driven gear ring to drive the rotating ring to rotate, the rotating ring is driven to rotate relative to the discharging barrel under the action of the driving assembly, and the cleaning strips can be driven to rotate along with rotation of the rotating ring; the cleaning strip rotates to rub the solidified concrete in the discharging barrel, the purpose of cleaning the solidified concrete is achieved along with continuous rubbing, in this way, the solidified concrete can be cleaned under the condition that disassembly is not needed, the labor expenditure of workers is reduced, and the working efficiency is ensured.",en,,nl
000-492-145-626-72X,CN,2023-01-20,CN_115626784_A_20230120,PATENT_APPLICATION,CN,A,2023-01-20,CN,A,2022-09-19,2022-09-19,"Oil shale semicoke-based gel material, and preparation method and application of gel product",1,8,3.0,1.0,CN,"The invention relates to an oil shale semicoke-based gel material and a preparation method and application of a gel product, raw materials comprise a mineral precursor fine material, a crack-resistant component, a pore-adjusting component and a depolymerization component, and the mineral precursor fine material is prepared by grinding and mixing sintered oil shale semicoke and iron furnace hydrated slag. The raw materials are wide in distribution, convenient to obtain and low in price, and the requirements of large-scale and low-cost production can be met; compared with a traditional PO.52.5 high-strength cement binding material, the high-strength cement binding material has more excellent mechanical strength, fatigue resistance, saline-alkaline tolerance and volume stability; meanwhile, the oil shale semi-coke recycling field is widened, the oil shale semi-coke industrial chain is prolonged, the oil shale semi-coke application value is improved, resource and high-value utilization of oil shale semi-coke solid waste is powerfully promoted, and meanwhile the oil shale semi-coke can replace a cement binding material to be used for building high-strength concrete members and buildings; the consumption of a cement binding material with high carbon emission is reduced, the construction cost of concrete engineering is reduced, and the development of green and low-carbon concrete is promoted.",en,,en
000-817-723-128-822,CN,2021-02-05,CN_112321258_A_20210205,PATENT_APPLICATION,CN,A,2021-02-05,CN,A,2020-10-12,2020-10-12,Green concrete prepared from sludge of waterworks,1,5,3.0,2.0,CN,"The invention relates to the technical field of building materials, and particularly discloses green concrete prepared from sludge of waterworks. The green concrete comprises the following componentsin parts by weight: 300-320 parts of cement, 50-80 parts of aluminum sludge powder, 175-195 parts of aluminum sludge, 530-575 parts of river sand, 1090-1150 parts of broken stone, 2.5-5 parts of a water reducing agent and 130-170 parts of water. The invention has the characteristics of easy availability of raw materials, lower cement consumption, lower manufacturing cost and higher resource utilization ratio.",en,,en
001-445-782-760-977,CN,2019-03-29,CN_208668403_U_20190329,LIMITED_PATENT,CN,U,2019-03-29,CN,U,2018-08-22,2018-08-22,Imitative stake of green concrete centrifugation of pretensioned prestressing,1,8,,,CN,"The utility model discloses an imitative stake of green concrete centrifugation of pretensioned prestressing, including first imitative stake pile body, the imitative stake pile body of second and connecting rod, the imitative stake pile body both ends of first imitative stake pile body and second all are equipped with the mounting groove, the connecting rod sets up between first imitative stake pile body and the imitative stake pile body of second, the connecting rod surface is equipped with the wood -grain -like layer, first imitative stake pile body middle part is equipped with the through-hole, first imitative stake pile body comprises inlayer concrete, thin steel cylinder and the combination of outer concrete from inside to outside in proper order, through the setting of the imitative stake pile body of first imitative stake pile body, connecting rod and second, can select to install side by side first imitative stake pile body and the imitative stake pile body of second according to the place installation circumstances, perhaps sets up the connecting rod between first imitative stake pile body and the imitative stake pile body of second, and increase the whole effect of keeping apart, but select the variety, the utility model relates to a rationally, be fit for using widely.",en,,en
001-957-108-415-847,CN,2019-08-20,CN_209277095_U_20190820,LIMITED_PATENT,CN,U,2019-08-20,CN,U,2018-10-16,2018-10-16,Cast-in-place greening slope protection concrete structure,1,1,,,CN,"The utility model discloses a cast-in-place greening slope protection concrete structure. The utility model relates to the technical field of soil protection, the slope protection structure comprisesa slope protection and a concrete protection layer formed on the outer surface of the slope protection through cast-in-place greening concrete in a pouring mode, greening vegetation is planted on theconcrete protection layer, concrete between the concrete protection layer and the slope protection extends towards the slope protection direction to form a concrete columnar body, and the concrete columnar body is fixedly connected with the slope protection in an inserted mode. A concrete protective layer is formed on the outer surface of the revetment in a pouring mode, root systems of green plants are rooted in the concrete protective layer, and the effect of reinforcing the concrete protective layer is achieved; and a concrete columnar body is formed between the concrete protective layer and the revetment in an extending mode and inserted into the revetment, the effect of further reinforcing the concrete protective layer is achieved, and then the purpose of preventing the revetment fromwater and soil loss phenomena such as landslide and collapse is achieved.",en,,en
003-203-395-622-997,US,2021-04-22,US_20210115630_A1_20210422,PATENT_APPLICATION,US,A1,2021-04-22,US,A,2020-06-17,2019-06-17,"SCARIFIER SYSTEM, AND METHOD OF RESURFACING OR REMODELING A GROUND SURFACE USING THE SCARIFIER SYSTEM",1,1,,,US,"A scarifier system for cutting channels into a ground surface according to a chosen design pattern, comprising a scarifier machine, and a guide system for guiding the scarifier machine on a tracked trail. The guide system for guiding the scarifier machine on a tracked trail can be, for instance, a sliding bracket clasping a guide rail or a rolling carriage having one or more pairs of wheels gripping a guide rail. A method of remodeling a ground surface using the scarifier system comprises the steps of planning a design pattern to remodel the ground surface and to mark the ground surface according to the chosen design pattern. The guide rail is installed on the ground surface according to the chosen design pattern and the scarifier machine is placed on the guide rail in a manner that the scarifier machine can slide along the guide rail to cut a channel into the ground surface.",en,,de
003-713-797-274-542,AU,2021-12-16,AU_2021106265_A4_20211216,LIMITED_PATENT,AU,A4,2021-12-16,AU,A,2021-08-20,2021-08-20,PARTIALLY REPLACEMENT OF CEMENT BY UTILIZATION OF MARBLE DUST AND TILE DUST,1,8,,,AU,"Every Construction sites generates the lots of waste materials like tile, marble, small pieces of stones etc. as the construction wastes which are eco-friendly so called as Green concrete. Green concrete is a revolutionary topic in the history of construction industry. Concrete is an environmental friendly material and the overall impact on the environment per ton of concrete is limited. Here the aspect on how to choose a non biodegradable or both degradable wastes material for green concrete. It presents the feasibility of the usage of by product materials like fly ash, query dust, marble powder/ granules, plastic waste and recycled concrete and masonry as aggregates in concrete. To avoid the pollution and reuse the material, the present study is carried out. Thus, green concrete is an excellent substituent of cement as it is cheaper, because it uses waste products, saving energy consumption in the production. Over and above all green concrete has greater strength and durability than the normal concrete. Our study is focused on the rigid pavement concrete strength using steel fibre and Marble dust shows the analysis and conclusions. We have studied pertaining to steel fibre reinforced concrete and Marble dust, and their effects were also laid down to a particular conclusion. The conclusion that drawn out of the studies in terms of the compressive strength which shows an immense increase on use of steel fibre and Marble dust in the rigid pavement concrete. In my work, marble dust is used as a partial replacement of cement and observes the changes occurred in various cases of cube strength, split tensile strength and the flexural strength. By doing such analysis, the use of a waste material in the form of waste marble dust is being used as a partial replacement material for any cementious compound and ultimately acquiring strength in particular more than that of a nominal mix. Total No.of figures: 04 NO. OF FIGURE: 01 1/2"" SIEVE -- - 3/8"" SIEVE *4 SIEVE FIG. 1: SIEVE SET FOR SIEVE ANALYSIS",en,,en
003-921-547-597-177,US,2020-10-29,US_20200339477_A1_20201029,PATENT_APPLICATION,US,A1,2020-10-29,US,A,2019-04-23,2019-04-23,ROOM TEMPERATURE CURED GREEN CONCRETE DERIVED FROM NATURAL POZZOLAN AND NANOSILICA,1,5,,,US,"A green concrete and mortar compositions free of Portland cement are disclosed. The compositions comprise Natural pozzolan, nanosilica particles, and alkaline activator. The green concrete produced from the composition of the invention is cured at ambient temperature and has higher compressive strength than that of concrete made with Portland cement.",en,{'value': 'KING FAHD UNIVERSITY OF PETROLEUM AND MINERALS'},en
004-148-058-392-171,US,2020-05-07,US_20200141132_A1_20200507,PATENT_APPLICATION,US,A1,2020-05-07,US,A,2019-03-05,2018-11-07,PROGRESSIVE STAGE LOAD DISTRIBUTION AND ABSORPTION UNDERLAYMENT SYSTEM,1,4,38.0,,US,A progressive stage load distributing and absorbing system that lies below a superstructure material which is exposed to percussive forces. The progressive stage load distributing and absorbing system is interposed between the superstructure material and a foundation. The system has a barrier layer that lies below the superstructure material and an underlayment infrastructure positioned below the barrier layer. Included in the underlayment infrastructure are hat-shaped absorbing members that have a relatively compliant stage subsystem and one or more relatively stiff stage subsystems.,en,{'value': 'VICONIC SPORTING LLC'},de
004-231-889-717-130,CN,2022-06-24,CN_216795887_U_20220624,LIMITED_PATENT,CN,U,2022-06-24,CN,U,2021-11-13,2021-11-13,Greening concrete roof,1,2,,,CN,"The utility model discloses a greening concrete roof which comprises a waterproof layer, a greening concrete layer and a soil layer which are arranged from bottom to top, and the waterproof layer and the greening concrete layer are obliquely arranged along the slope surface of the roof. A plurality of baffles are arranged on the greening concrete layer in the inclination direction perpendicular to the roof slope surface, planting grooves are formed among the baffles, the planting grooves are filled with the soil layer, and plants are planted on the soil layer. According to the greening concrete roof, plants can be planted on the roof for greening.",en,,en
